ISBN,Book-Title,Book-Author,Book-Rating
0061003697,DEATH ON THE NILE,AGATHA CHRISTIE,10
0399134700,STRAIGHT,DICK FRANCIS,8
0449200531,TWICE SHY,DICK FRANCIS,8
0879751487,PARANORMAL BORDERLANDS OF SCIENCE,FRAZIER,8
0671606735,MISTLETOE HOLLY,JANET DAILEY,5
2831563798,BERLITZ FRENCH-ENGLISH DICTIONARY/DICTIONNAIRE ANGLAIS-FRANCAIS,BERLITZ PUBLISHING,5
0064400484,TRUMPET OF THE SWAN,E. B. WHITE,8
1570624933,THE BUDDHA SPEAKS,ANNE BANCROFT,5
1892374234,I GO PLACES: A FUN STICKER BOOK,LYNN BRUNELLE,5
0670896713,"LIVE IN A BETTER WAY: REFLECTIONS ON TRUTH, LOVE AND HAPPINESS",DALAI LAMA,8
0679736697,THE WEATHER BOOK,JACK WILLIAMS,6
0486270408,WOODPECKERS OF EASTERN NORTH AMERICA (DOVER PICTORIAL ARCHIVES),LAWRENCE KILHAM,6
0140234942,THE HUMAN NATURE OF BIRDS: A SCIENTIFIC DISCOVERY WITH STARTLING IMPLICATIONS,"THEODORE XENOPHON, PH.D. BARBER",6
0449224392,TRAITOR'S GATE,ANNE PERRY,6
0425144569,FOR ALL ETERNITY,LINDA LAEL MILLER,7
1573221112,THE ART OF HAPPINESS: A HANDBOOK FOR LIVING,DALAI LAMA,8
0449005925,SLAVES OF OBSESSION (WILLIAM MONK NOVELS (PAPERBACK)),ANNE PERRY,4
1558532854,POSTCARDS FROM LIVE AND LEARN AND PASS IT ON,"H. JACKSON, JR. BROWN",4
0394900014,CAT IN THE HAT (I CAN READ IT ALL BY MYSELF BEGINNER BOOKS),SEUSS,9
0345339738,"THE RETURN OF THE KING (THE LORD OF THE RINGS, PART 3)",J.R.R. TOLKIEN,9
0394816269,EL GATO EN EL SOMBRERO/ THE CAT IN THE HAT,DR. SEUSS,7
0452281369,CLARA THE EARLY YEARS: THE STORY OF THE PUG WHO RULED MY LIFE,MARGO KAUFMAN,8
0394800796,HOW THE GRINCH STOLE CHRISTMAS!,DR. SEUSS,10
