ISBN,Book-Title,Book-Author,Book-Rating
067172262X,HAMLET,WILLIAM SHAKESPEARE,10
0380816547,ISLAND OF THE SEQUINED LOVE NUN,CHRISTOPHER MOORE,7
0312850956,SATI,CHRISTOPHER PIKE,7
0671617028,THE COLOR PURPLE,ALICE WALKER,10
0140267697,STORYVILLE,LOIS BATTLE,6
0446357251,HAUNTED HEARTLAND,BETH SCOTT,5
0440219795,COMPANIONS OF THE NIGHT (LAUREL-LEAF BOOKS),VIVIAN VANDE VELDE,6
0802135161,ORANGES ARE NOT THE ONLY FRUIT,JEANETTE WINTERSON,5
0140714197,ROMEO AND JULIET (THE PELICAN SHAKESPEARE),WILLIAM SHAKESPEARE,10
0767908260,THE ISLAND OF LOST MAPS : A TRUE STORY OF CARTOGRAPHIC CRIME,MILES HARVEY,4
038547458X,LOSING JESSICA,ROBBY DEBOER,5
1567183557,"LILITH (HEELEY, D. A. DARKNESS AND LIGHT, BK. 1.)",D. A. HEELEY,7
0590029738,"DREAMS IN THE GOLDEN COUNTRY: THE DIARY OF ZIPPORAH FELDMAN, A JEWISH IMMIGRANT GIRL, NEW YORK CITY, 1903 (DEAR AMERICA)",KATHRYN LASKY,8
0590742590,THE SECOND BEND IN THE RIVER (POINT),ANN RINALDI,6
048626873X,"RENASCENCE, AND OTHER POEMS (DOVER THRIFT EDITIONS)",EDNA ST. VINCENT MILLAY,7
0553246798,THRONE OF ZEUS,DEBORAH LERME GOODMAN,8
1567184650,THE NEW BOOK OF GODDESSES &AMP; HEROINES,PATRICIA MONAGHAN,8
0679420088,THE DJINN IN THE NIGHTINGALE'S EYE: FIVE FAIRY STORIES,A. S. BYATT,6
0140714014,MACBETH (THE PELICAN SHAKESPEARE),WILLIAM SHAKESPEARE,9
0140714189,A MIDSUMMER NIGHT'S DREAM (THE PELICAN SHAKESPEARE),WILLIAM SHAKESPEARE,10
0440206154,RED DRAGON,THOMAS HARRIS,6
0140714057,"HAMLET, PRINCE OF DENMARK (PELICAN SHAKESPEARE)",WILLIAM SHAKESPEARE,10
0156453800,INVISIBLE CITIES (A HARVEST/HBJ BOOK),ITALO CALVINO,6
0553250515,THE MEMBER OF THE WEDDING,CARSON MCCULLERS,5
0684846942,KATE VAIDEN,REYNOLDS PRICE,6
0156291258,"THE ETERNAL MOMENT, AND OTHER STORIES: AND OTHER STORIES (A HARVEST BOOK, HB 180)",E. M. FORSTER,8
